weather,visibility,equipment_readiness,communication,resource_availability,terrain,readiness_score,scenario_risk,outcome
Clear,70,63,85,95,Mountain,81.8,Low,Favourable
Snow,34,86,91,67,Plain,64.85,Medium,At Risk
Fog,87,79,92,56,Mountain,67.45,Medium,At Risk
Heavy Rain,40,77,63,82,Mountain,60.05000000000001,Medium,At Risk
Snow,32,99,54,96,Forest,68.85,Medium,At Risk
Snow,38,98,61,80,Desert,67.1,Medium,At Risk
Snow,53,49,69,81,Mountain,54.8,High,High Risk
Heavy Rain,97,74,43,89,Desert,68.15,Medium,At Risk
Heavy Rain,87,90,52,59,Forest,66.05,Medium,At Risk
Rain,71,88,98,84,Desert,85.6,Low,Favourable
Fog,46,71,62,79,Forest,56.19999999999999,Medium,At Risk
Clear,48,46,47,78,Plain,59.6,Medium,At Risk
Snow,47,60,57,88,Desert,56.8,Medium,At Risk
Rain,54,59,51,92,Desert,64.65,Medium,At Risk
Clear,27,65,94,62,Plain,67.45,Medium,At Risk
Rain,35,43,70,86,Desert,57.55,Medium,At Risk
Heavy Rain,55,85,53,71,Plain,61.099999999999994,Medium,At Risk
Snow,49,91,73,91,Mountain,72.0,Medium,At Risk
Clear,37,61,57,86,Forest,66.65,Medium,At Risk
Clear,21,54,95,72,Plain,65.1,Medium,At Risk
Clear,68,95,73,96,Desert,90.45,Low,Favourable
Clear,96,79,50,85,Plain,83.1,Low,Favourable
Clear,23,60,80,44,Desert,57.6,Medium,At Risk
Rain,94,54,51,82,Mountain,68.4,Medium,At Risk
Snow,26,61,88,87,Plain,58.900000000000006,Medium,At Risk
Heavy Rain,93,91,54,73,Mountain,71.5,Medium,At Risk
Heavy Rain,58,67,96,79,Forest,66.0,Medium,At Risk
Heavy Rain,32,53,70,50,Desert,43.449999999999996,High,High Risk
Heavy Rain,50,66,88,100,Desert,67.69999999999999,Medium,At Risk
Rain,90,100,97,89,Mountain,94.65,Low,Favourable
Fog,82,80,68,42,Forest,58.5,Medium,At Risk
Snow,75,79,65,97,Plain,72.9,Medium,At Risk
Clear,61,97,57,72,Plain,80.55,Low,Favourable
Fog,80,67,71,50,Desert,56.150000000000006,Medium,At Risk
Heavy Rain,61,65,61,55,Mountain,52.900000000000006,High,High Risk
Fog,75,88,77,57,Mountain,65.44999999999999,Medium,At Risk
Snow,55,41,56,69,Plain,46.800000000000004,High,High Risk
Clear,87,64,62,87,Forest,78.94999999999999,Low,Favourable
Clear,26,95,63,94,Forest,79.55000000000001,Low,Favourable
Snow,73,42,89,49,Plain,52.35,High,High Risk
Snow,20,47,47,57,Plain,37.1,High,High Risk
Heavy Rain,63,83,80,77,Mountain,68.9,Medium,At Risk
Clear,64,72,45,58,Forest,66.5,Medium,At Risk
Fog,66,81,44,75,Plain,59.099999999999994,Medium,At Risk
Rain,32,91,83,98,Plain,79.35,Low,Favourable
Rain,41,74,96,52,Desert,66.30000000000001,Medium,At Risk
Snow,40,45,68,95,Plain,54.1,High,High Risk
Heavy Rain,28,78,67,85,Plain,59.55,Medium,At Risk
Rain,45,91,50,42,Forest,61.349999999999994,Medium,At Risk
Clear,28,62,96,49,Mountain,63.75,Medium,At Risk
Snow,34,64,40,77,Forest,49.45,High,High Risk
Fog,29,98,82,40,Mountain,56.5,Medium,At Risk
Snow,61,89,58,94,Desert,71.45,Medium,At Risk
Fog,91,82,48,95,Plain,70.25,Medium,At Risk
Snow,43,58,66,66,Desert,51.6,High,High Risk
Snow,99,44,73,85,Mountain,64.05000000000001,Medium,At Risk
Snow,68,90,83,47,Forest,66.44999999999999,Medium,At Risk
Fog,45,50,43,90,Forest,47.6,High,High Risk
Fog,56,95,75,85,Desert,70.7,Medium,At Risk
Snow,87,51,57,81,Mountain,59.900000000000006,Medium,At Risk
Rain,69,49,54,56,Desert,55.75,Medium,At Risk
Heavy Rain,43,47,90,48,Desert,47.05,High,High Risk
Heavy Rain,38,63,52,100,Plain,57.05,Medium,At Risk
Heavy Rain,79,99,58,45,Desert,65.30000000000001,Medium,At Risk
Fog,58,67,88,82,Plain,63.150000000000006,Medium,At Risk
Fog,93,80,45,64,Plain,61.599999999999994,Medium,At Risk
Rain,37,75,87,78,Forest,70.55,Medium,At Risk
Heavy Rain,38,76,95,88,Plain,67.19999999999999,Medium,At Risk
Heavy Rain,55,60,51,99,Plain,58.95,Medium,At Risk
Snow,93,47,90,67,Forest,62.8,Medium,At Risk
Fog,74,94,76,72,Desert,70.9,Medium,At Risk
Heavy Rain,88,48,56,93,Mountain,60.849999999999994,Medium,At Risk
Rain,66,86,97,76,Mountain,81.7,Low,Favourable
Rain,68,54,62,48,Mountain,56.9,Medium,At Risk
Heavy Rain,52,87,65,57,Desert,60.099999999999994,Medium,At Risk
Fog,40,85,68,95,Plain,65.1,Medium,At Risk
Rain,100,79,72,98,Mountain,86.55,Low,Favourable
Snow,41,57,99,60,Desert,55.95,Medium,At Risk
Rain,67,81,66,41,Plain,65.2,Medium,At Risk
Clear,56,99,64,100,Forest,88.65,Low,Favourable
Clear,34,59,95,97,Mountain,75.7,Low,Favourable
Fog,54,45,94,82,Plain,55.849999999999994,Medium,At Risk
Heavy Rain,90,51,49,98,Mountain,62.14999999999999,Medium,At Risk
